name
AGUASCALIENTES
"BAJA CALIFORNIA"
"BAJA CALIFORNIA SUR"
CAMPECHE
CHIHUAHUA
CHIAPAS
COAHUILA
COLIMA
"DISTRITO FEDERAL"
DURANGO
GUERRERO
GUANAJUATO
HIDALGO
JALISCO
MEXICO
MICHOACAN
MORELOS
NAYARIT
"NUEVO LEON"
OAXACA
PUEBLA
QUERETARO
"QUINTANA ROO"
SINALOA
"SAN LUIS POTOSI"
SONORA
TABASCO
TAMAULIPAS
TLAXCALA
VERACRUZ
YUCATAN
ZACATECAS
